Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*(h2),Manhattan,23,3219,1.4207236424788585
A*(h1),Misplaced Titles,23,18211,1.531905248448651
IDS,N/A,31,341838,1.5083785001566188
A*(h2),Manhattan,22,1046,1.371675685060767
A*(h1),Misplaced Titles,22,9522,1.516530959700157
IDS,N/A,34,441114,1.465602513788125
A*(h2),Manhattan,22,1297,1.3851514839867802
A*(h1),Misplaced Titles,22,9219,1.5143034112556266
IDS,N/A,24,77655,1.598663499582732
A*(h2),Manhattan,24,1276,1.3471329063822326
A*(h1),Misplaced Titles,22,10881,1.525755506179307
IDS,N/A,24,109652,1.6218126736633347
A*(h2),Manhattan,20,586,1.375291886221984
A*(h1),Misplaced Titles,18,1984,1.5247433900828937
IDS,N/A,20,24202,1.6565042819090923
A*(h2),Manhattan,21,260,1.3031629701971368
A*(h1),Misplaced Titles,21,7905,1.53325494829057
IDS,N/A,31,348785,1.5093577431650953
A*(h2),Manhattan,26,2618,1.3535065782650428
A*(h1),Misplaced Titles,26,43906,1.5085461836631926
IDS,N/A,28,361427,1.5794312824440495
A*(h2),Manhattan,24,1817,1.367119428762686
A*(h1),Misplaced Titles,24,30516,1.5376422969848489
IDS,N/A,30,378170,1.5343445761478591
A*(h2),Manhattan,26,5044,1.3880797740094657
A*(h1),Misplaced Titles,26,46023,1.5112808852607063
IDS,N/A,30,283211,1.5196270092009085
A*(h2),Manhattan,19,247,1.3363844653630497
A*(h1),Misplaced Titles,19,2323,1.5036975243890092
IDS,N/A,19,45899,1.7593735734943732
A*(h2),Manhattan,28,4652,1.3520325034488219
A*(h1),Misplaced Titles,28,84185,1.4993438405246289
IDS,N/A,30,449338,1.5431889501723972
A*(h2),Manhattan,21,1623,1.4219106611543777
A*(h1),Misplaced Titles,21,8433,1.5379829771309905
IDS,N/A,23,82451,1.6358657097091998
A*(h2),Manhattan,20,1041,1.4153783116681262
A*(h1),Misplaced Titles,20,4934,1.5298891240763532
IDS,N/A,28,237815,1.5559962443925215
A*(h2),Manhattan,24,1881,1.3690927368022507
A*(h1),Misplaced Titles,24,21134,1.5142848276398868
IDS,N/A,26,117432,1.5667214407246728
A*(h2),Manhattan,25,2377,1.3647124931111845
A*(h1),Misplaced Titles,25,36900,1.522933902150164
IDS,N/A,35,542310,1.4582622926756135
A*(h2),Manhattan,20,834,1.3997752249415698
A*(h1),Misplaced Titles,20,4743,1.5268720886552627
IDS,N/A,22,71161,1.6617146797166842
A*(h2),Manhattan,25,1117,1.3241040896205083
A*(h1),Misplaced Titles,23,17891,1.530724936532858
IDS,N/A,27,175275,1.5639103396521217
A*(h2),Manhattan,24,2272,1.3799086815090178
A*(h1),Misplaced Titles,24,20892,1.5135583466785851
IDS,N/A,26,146325,1.580032781156017
A*(h2),Manhattan,18,160,1.3257178692620917
A*(h1),Misplaced Titles,18,2052,1.5276007155657416
IDS,N/A,24,186784,1.6582085609773334
