Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*(h2),Manhattan,18,604,1.427256574278686
A*(h1),Misplaced Titles,18,2162,1.5320387868557082
IDS,N/A,20,27102,1.6659043685129544
A*(h2),Manhattan,24,1426,1.353385897949451
A*(h1),Misplaced Titles,24,26362,1.5282958418218364
IDS,N/A,26,117447,1.5667291372831191
A*(h2),Manhattan,22,916,1.3634261283147229
A*(h1),Misplaced Titles,22,9784,1.5184032025953635
IDS,N/A,26,138686,1.5767777591301375
A*(h2),Manhattan,24,4030,1.4132566692121131
A*(h1),Misplaced Titles,24,31022,1.538696295022329
IDS,N/A,24,211663,1.6668705469023404
A*(h2),Manhattan,25,2755,1.3727923934899169
A*(h1),Misplaced Titles,25,35787,1.5210693376443227
IDS,N/A,29,300972,1.5449509398903387
A*(h2),Manhattan,22,822,1.3567323283171928
A*(h1),Misplaced Titles,22,9486,1.516269871162829
IDS,N/A,38,797637,1.429916460462649
A*(h2),Manhattan,18,212,1.346607041715182
A*(h1),Misplaced Titles,18,1927,1.5222760988022082
IDS,N/A,18,21317,1.73974173717968
A*(h2),Manhattan,25,4522,1.4002746362232226
A*(h1),Misplaced Titles,23,17728,1.5301159301800482
IDS,N/A,35,567345,1.4601438217999587
A*(h2),Manhattan,25,2416,1.3656011605749006
A*(h1),Misplaced Titles,25,38128,1.524929482449555
IDS,N/A,29,241525,1.5332726270346249
A*(h2),Manhattan,25,3988,1.393253702950999
A*(h1),Misplaced Titles,23,16742,1.5263136819886807
IDS,N/A,27,166708,1.5610103914722733
A*(h2),Manhattan,26,4166,1.37790720724988
A*(h1),Misplaced Titles,26,42896,1.5071964995110072
IDS,N/A,36,889186,1.4630184226627283
A*(h2),Manhattan,22,613,1.3387600646861015
A*(h1),Misplaced Titles,22,9835,1.5187620749717214
IDS,N/A,26,151894,1.5823043564929518
A*(h2),Manhattan,17,121,1.3259183665908472
A*(h1),Misplaced Titles,17,1134,1.5124572945959114
IDS,N/A,17,17173,1.7746331842716774
A*(h2),Manhattan,18,423,1.3992902181975893
A*(h1),Misplaced Titles,18,2128,1.5306902377692564
IDS,N/A,20,28351,1.6696614462745754
A*(h2),Manhattan,28,7115,1.3727064526273556
A*(h1),Misplaced Titles,28,85953,1.5004571886161144
IDS,N/A,36,587791,1.4462926946771042
A*(h2),Manhattan,24,1942,1.3709145456584981
A*(h1),Misplaced Titles,24,20168,1.5113357355274282
IDS,N/A,36,628742,1.4490009819582284
A*(h2),Manhattan,24,1125,1.340081942362466
A*(h1),Misplaced Titles,24,19965,1.5106988134637218
IDS,N/A,32,394176,1.4957717204964427
A*(h2),Manhattan,23,341,1.288604832240471
A*(h1),Misplaced Titles,23,17345,1.5286636064617707
IDS,N/A,25,107050,1.5892179688719692
A*(h2),Manhattan,26,5501,1.3927178447192043
A*(h1),Misplaced Titles,24,23134,1.5200006738198801
IDS,N/A,24,175336,1.6538443310283442
A*(h2),Manhattan,16,114,1.3444868324319708
A*(h1),Misplaced Titles,16,798,1.5183614915367434
IDS,N/A,18,12632,1.689894381596551
A*(h2),Manhattan,14,53,1.3278914118681078
A*(h1),Misplaced Titles,14,301,1.5032820229616315
IDS,N/A,24,75286,1.5966011067114758
A*(h2),Manhattan,24,2157,1.376925435889507
A*(h1),Misplaced Titles,24,30036,1.536626861179955
IDS,N/A,36,835259,1.4604780436950535
A*(h2),Manhattan,27,9655,1.404699467243433
A*(h1),Misplaced Titles,27,70647,1.5121541436520978
IDS,N/A,31,290351,1.5004562369616183
A*(h2),Manhattan,21,918,1.3838459489118309
A*(h1),Misplaced Titles,21,8233,1.5362261317938413
IDS,N/A,21,137616,1.756703718102152
A*(h2),Manhattan,26,4662,1.3838815949497827
A*(h1),Misplaced Titles,26,51843,1.518218347680975
IDS,N/A,26,117405,1.5667075845370169
A*(h2),Manhattan,28,4479,1.3502037929432655
A*(h1),Misplaced Titles,28,85426,1.5001276530776066
IDS,N/A,36,565434,1.444735640584114
A*(h2),Manhattan,24,1198,1.3435970266462383
A*(h1),Misplaced Titles,24,21871,1.516449177998291
IDS,N/A,24,87690,1.6067793917640327
A*(h2),Manhattan,23,1289,1.3653009352095753
A*(h1),Misplaced Titles,23,17777,1.530299566844059
IDS,N/A,35,516150,1.4562038317102237
A*(h2),Manhattan,24,1801,1.3666156968820597
A*(h1),Misplaced Titles,24,21207,1.5145024080061371
IDS,N/A,34,506478,1.4715709085707516
A*(h2),Manhattan,27,2511,1.3363500942441913
A*(h1),Misplaced Titles,27,68870,1.51072807243597
IDS,N/A,39,1023121,1.4259381626612944
A*(h2),Manhattan,22,1511,1.3948002646472748
A*(h1),Misplaced Titles,22,9624,1.5172656257906452
IDS,N/A,30,326945,1.5269183816349312
A*(h2),Manhattan,18,327,1.3794218387284016
A*(h1),Misplaced Titles,18,1975,1.5243583045902236
IDS,N/A,18,12966,1.6923462491189
A*(h2),Manhattan,28,8339,1.380510724417497
A*(h1),Misplaced Titles,26,41982,1.5059484997441084
IDS,N/A,32,383916,1.494539444574192
A*(h2),Manhattan,22,1260,1.3833304407427565
A*(h1),Misplaced Titles,22,10440,1.52288884134939
IDS,N/A,26,150702,1.581824958521369
A*(h2),Manhattan,19,902,1.430662475132422
A*(h1),Misplaced Titles,19,3862,1.5444704132589469
IDS,N/A,27,155088,1.5568387648368178
A*(h2),Manhattan,21,791,1.3740685641774686
A*(h1),Misplaced Titles,21,8162,1.5355926619650875
IDS,N/A,29,225387,1.5296207060476514
A*(h2),Manhattan,19,502,1.38721028764864
A*(h1),Misplaced Titles,19,2449,1.5078836452108157
IDS,N/A,33,492258,1.487615484959969
A*(h2),Manhattan,25,2129,1.358710796745379
A*(h1),Misplaced Titles,25,35150,1.5199769889418608
IDS,N/A,33,669689,1.501556267534399
A*(h2),Manhattan,24,3838,1.4103850866344831
A*(h1),Misplaced Titles,24,32221,1.5411294713183383
IDS,N/A,28,358403,1.5789574094700987
A*(h2),Manhattan,27,9286,1.4026735826544652
A*(h1),Misplaced Titles,27,73409,1.514303539058791
IDS,N/A,39,894711,1.4210431015730778
A*(h2),Manhattan,16,259,1.415243716192979
A*(h1),Misplaced Titles,16,669,1.5017205795187771
IDS,N/A,16,20083,1.857491293369971
A*(h2),Manhattan,23,2556,1.4065488485748197
A*(h1),Misplaced Titles,23,19084,1.5350271499009134
IDS,N/A,25,101353,1.585745414876471
A*(h2),Manhattan,26,1121,1.310064033132146
A*(h1),Misplaced Titles,26,41913,1.5058532275559005
IDS,N/A,28,212387,1.5497247497086835
A*(h2),Manhattan,19,416,1.3735580464751418
A*(h1),Misplaced Titles,19,3764,1.5423824855870252
IDS,N/A,19,27022,1.7109932212771666
A*(h2),Manhattan,21,1799,1.4288988409994032
A*(h1),Misplaced Titles,21,8431,1.5379656059565672
IDS,N/A,23,64861,1.618887538281063
A*(h2),Manhattan,18,448,1.403761163377626
A*(h1),Misplaced Titles,18,2061,1.5279721692183785
IDS,N/A,20,52023,1.7211145245610746
A*(h2),Manhattan,23,1078,1.3547307530146884
A*(h1),Misplaced Titles,23,16215,1.5241926657656686
IDS,N/A,39,865054,1.4198153835583962
A*(h2),Manhattan,22,563,1.3335923908724157
A*(h1),Misplaced Titles,22,8874,1.5116803709601563
IDS,N/A,24,82864,1.6029940569957635
A*(h2),Manhattan,24,2223,1.3786556689171716
A*(h1),Misplaced Titles,24,22392,1.517937430330972
IDS,N/A,34,553097,1.4753868920005777
A*(h2),Manhattan,24,2500,1.385418024881474
A*(h1),Misplaced Titles,24,19972,1.510720879403062
IDS,N/A,28,171009,1.537777614432078
A*(h2),Manhattan,29,9576,1.3717728769831177
A*(h1),Misplaced Titles,29,97505,1.4860568019060805
IDS,N/A,41,1013469,1.401145325263357
A*(h2),Manhattan,26,5551,1.3932026054706454
A*(h1),Misplaced Titles,26,43656,1.5082149052905363
IDS,N/A,34,548178,1.4749992919041208
A*(h2),Manhattan,22,1112,1.3754959262999544
A*(h1),Misplaced Titles,20,4146,1.5166363645078536
IDS,N/A,24,87298,1.6064794665368243
A*(h2),Manhattan,24,1932,1.3706196802841546
A*(h1),Misplaced Titles,24,21813,1.516281402538119
IDS,N/A,32,364982,1.492179202724533
A*(h2),Manhattan,24,1628,1.3608771854139923
A*(h1),Misplaced Titles,24,26262,1.5280538456667252
IDS,N/A,30,266948,1.5166343535690285
A*(h2),Manhattan,18,529,1.4167822033014115
A*(h1),Misplaced Titles,18,2361,1.5395515010879703
IDS,N/A,18,24809,1.754466009894387
A*(h2),Manhattan,25,4341,1.3979884760544077
A*(h1),Misplaced Titles,25,36294,1.5219254987879027
IDS,N/A,29,214049,1.5269007207887941
A*(h2),Manhattan,25,1506,1.3400253026167945
A*(h1),Misplaced Titles,25,36455,1.522194975589087
IDS,N/A,35,540825,1.4581480509587017
A*(h2),Manhattan,19,217,1.3273075505554501
A*(h1),Misplaced Titles,19,2552,1.5111567276116908
IDS,N/A,29,206514,1.5250150183777262
A*(h2),Manhattan,23,1748,1.3835028626800518
A*(h1),Misplaced Titles,23,17241,1.528263945601478
IDS,N/A,31,316624,1.50465487922428
A*(h2),Manhattan,24,2103,1.3754716273109713
A*(h1),Misplaced Titles,24,20226,1.5115165849469656
IDS,N/A,30,253992,1.5141212963940527
A*(h2),Manhattan,18,169,1.329754545639786
A*(h1),Misplaced Titles,18,1936,1.5226702163025172
IDS,N/A,18,20937,1.7380041252934684
A*(h2),Manhattan,22,1764,1.4046499798915577
A*(h1),Misplaced Titles,22,14684,1.5466855106704065
IDS,N/A,26,134141,1.5747582975616985
A*(h2),Manhattan,27,8543,1.3983477895527465
A*(h1),Misplaced Titles,27,72884,1.5139010453766812
IDS,N/A,35,533986,1.4576179592854333
A*(h2),Manhattan,20,883,1.4037767177714122
A*(h1),Misplaced Titles,20,4874,1.5289534958088278
IDS,N/A,20,39059,1.6966257575215653
A*(h2),Manhattan,20,536,1.369172726327454
A*(h1),Misplaced Titles,18,1880,1.5201892541772288
IDS,N/A,24,82133,1.602402339148925
A*(h2),Manhattan,24,1334,1.3496303198066275
A*(h1),Misplaced Titles,22,10571,1.523752274674751
IDS,N/A,24,127750,1.6321686725879128
A*(h2),Manhattan,25,2803,1.373741201586521
A*(h1),Misplaced Titles,25,36985,1.5230740717606792
IDS,N/A,33,452095,1.483783704197663
A*(h2),Manhattan,27,5072,1.371604372502065
A*(h1),Misplaced Titles,27,74264,1.5149531333090964
IDS,N/A,29,210431,1.52600342215828
A*(h2),Manhattan,23,1565,1.3768667995820951
A*(h1),Misplaced Titles,23,16676,1.526051578554926
IDS,N/A,25,136944,1.6049507880885907
A*(h2),Manhattan,20,1265,1.4292379070184644
A*(h1),Misplaced Titles,20,4676,1.5257863494236266
IDS,N/A,24,80433,1.6010064975628
A*(h2),Manhattan,21,214,1.2911362793654693
A*(h1),Misplaced Titles,21,7061,1.5250333580891655
IDS,N/A,25,121400,1.5972347396333166
A*(h2),Manhattan,22,516,1.3283186158952511
A*(h1),Misplaced Titles,22,9450,1.5160078350971582
IDS,N/A,30,425624,1.5404024604129816
A*(h2),Manhattan,25,4627,1.4015609216329632
A*(h1),Misplaced Titles,25,38097,1.5248798692805907
IDS,N/A,25,163797,1.6164870797312545
A*(h2),Manhattan,24,2715,1.390188664815688
A*(h1),Misplaced Titles,24,20525,1.5124410812167806
IDS,N/A,34,630823,1.4811038650973458
A*(h2),Manhattan,20,911,1.4059695625026465
A*(h1),Misplaced Titles,20,4606,1.5246360929645095
IDS,N/A,20,45554,1.7097252510775596
A*(h2),Manhattan,25,2783,1.3733477750635883
A*(h1),Misplaced Titles,25,37796,1.5243961161668786
IDS,N/A,25,172412,1.6198048671524838
A*(h2),Manhattan,21,1251,1.4043923118614232
A*(h1),Misplaced Titles,21,9025,1.5429598635798294
IDS,N/A,21,61642,1.690788820745177
A*(h2),Manhattan,23,816,1.3384286495781457
A*(h1),Misplaced Titles,23,17664,1.5298753456525744
IDS,N/A,23,171307,1.6887114169627642
A*(h2),Manhattan,21,1069,1.3939173815234547
A*(h1),Misplaced Titles,21,8855,1.5415632919854698
IDS,N/A,21,44691,1.6650951317764549
A*(h2),Manhattan,20,1054,1.4162568732124525
A*(h1),Misplaced Titles,20,4583,1.524254524620394
IDS,N/A,28,246925,1.558086660440908
A*(h2),Manhattan,27,11553,1.4140676170371824
A*(h1),Misplaced Titles,27,74829,1.515378457083732
IDS,N/A,27,166640,1.5609868040865362
A*(h2),Manhattan,26,1341,1.3191243046713659
A*(h1),Misplaced Titles,26,42684,1.5069093225378556
IDS,N/A,30,257026,1.514720728283718
A*(h2),Manhattan,19,238,1.3337763049422195
A*(h1),Misplaced Titles,19,2537,1.5106879373325595
IDS,N/A,27,237570,1.581624531876309
A*(h2),Manhattan,24,976,1.3321723306313666
A*(h1),Misplaced Titles,24,19707,1.5098803096685538
IDS,N/A,28,199213,1.546184607751079
A*(h2),Manhattan,22,2030,1.413646196401073
A*(h1),Misplaced Titles,20,5413,1.5369930416838216
IDS,N/A,20,24341,1.6569786812947283
A*(h2),Manhattan,19,570,1.39651641552546
A*(h1),Misplaced Titles,17,1604,1.5436236832591095
IDS,N/A,19,35958,1.736915584926923
A*(h2),Manhattan,23,1275,1.3646528355707053
A*(h1),Misplaced Titles,23,16892,1.526905714818011
IDS,N/A,23,105401,1.6534252040805608
A*(h2),Manhattan,19,246,1.3360991565900138
A*(h1),Misplaced Titles,19,2389,1.5059163550523804
IDS,N/A,19,32901,1.7288123139612472
A*(h2),Manhattan,27,4379,1.364161343584292
A*(h1),Misplaced Titles,27,72007,1.51322242038308
IDS,N/A,35,579794,1.461049612233083
A*(h2),Manhattan,22,670,1.344181598040364
A*(h1),Misplaced Titles,22,9523,1.5165381987014726
IDS,N/A,26,358899,1.6355083991278243
A*(h2),Manhattan,23,1005,1.3506068847213224
A*(h1),Misplaced Titles,23,17787,1.5303369842205898
IDS,N/A,23,93621,1.6449271323535035
A*(h2),Manhattan,25,1904,1.352653864925616
A*(h1),Misplaced Titles,25,36597,1.5224317042383697
IDS,N/A,29,368396,1.5557574641841254
A*(h2),Manhattan,24,2498,1.3853718265688308
A*(h1),Misplaced Titles,24,21101,1.5141862329067466
IDS,N/A,32,366253,1.4923413141436275
A*(h2),Manhattan,23,1353,1.3681804562497568
A*(h1),Misplaced Titles,23,16612,1.5257964683243075
IDS,N/A,23,112222,1.657939233746919
A*(h2),Manhattan,25,2250,1.3617183839722016
A*(h1),Misplaced Titles,25,36798,1.5227652888822172
IDS,N/A,25,107644,1.589569763467672
A*(h2),Manhattan,17,274,1.3912240988536202
A*(h1),Misplaced Titles,17,1187,1.5165266349800601
IDS,N/A,17,15005,1.7606009877087974
A*(h2),Manhattan,25,2001,1.3553450798485713
A*(h1),Misplaced Titles,25,34843,1.519443730967329
IDS,N/A,31,367280,1.5118755415964598
A*(h2),Manhattan,23,1153,1.3586982416402311
A*(h1),Misplaced Titles,23,17393,1.5288472928100019
IDS,N/A,23,103315,1.6519888185423244
A*(h2),Manhattan,18,526,1.4163346322985157
A*(h1),Misplaced Titles,18,1988,1.5249140098897487
IDS,N/A,28,158488,1.5336072628550756
A*(h2),Manhattan,23,1204,1.3612574889536329
A*(h1),Misplaced Titles,23,17475,1.5291599715051565
IDS,N/A,29,342502,1.551852542655877
A*(h2),Manhattan,24,2523,1.3859467745919847
A*(h1),Misplaced Titles,24,21544,1.515497639238921
IDS,N/A,28,242677,1.5571213183906296
A*(h2),Manhattan,26,4242,1.3788656371063033
A*(h1),Misplaced Titles,26,43402,1.5078764530405115
IDS,N/A,34,480667,1.4693087599515726
A*(h2),Manhattan,27,6501,1.384272169645662
A*(h1),Misplaced Titles,27,74244,1.514938020562098
IDS,N/A,35,582092,1.4612147470040309
A*(h2),Manhattan,18,319,1.3775249778199008
A*(h1),Misplaced Titles,18,2008,1.5257622752885256
IDS,N/A,28,155576,1.5325918843389608
A*(h2),Manhattan,24,4058,1.4136644446554543
A*(h1),Misplaced Titles,24,23549,1.5211271556576182
IDS,N/A,28,201883,1.5469199777548648
A*(h2),Manhattan,26,5802,1.3955743843239146
A*(h1),Misplaced Titles,26,43590,1.5081271434477468
IDS,N/A,30,262338,1.5157539434083478
A*(h2),Manhattan,24,2016,1.3730523801671637
A*(h1),Misplaced Titles,22,9459,1.516073433329535
IDS,N/A,26,129769,1.5727526349386964
A*(h2),Manhattan,18,321,1.3780033697104765
A*(h1),Misplaced Titles,18,2278,1.5364936233176492
IDS,N/A,24,191517,1.6599384012864762
A*(h2),Manhattan,16,67,1.3005578511750604
A*(h1),Misplaced Titles,16,610,1.4930801258850077
IDS,N/A,30,264324,1.5161350455219949
A*(h2),Manhattan,22,543,1.3314016264801243
A*(h1),Misplaced Titles,22,9402,1.5156569675153744
IDS,N/A,30,250695,1.5134620043319724
A*(h2),Manhattan,19,247,1.3363844653630497
A*(h1),Misplaced Titles,19,3187,1.5289332648253076
IDS,N/A,35,731549,1.470787099765187
A*(h2),Manhattan,26,2429,1.3496114389732083
A*(h1),Misplaced Titles,26,48795,1.5146843135715147
IDS,N/A,28,234270,1.5551618560247142
A*(h2),Manhattan,20,537,1.3693003346150499
A*(h1),Misplaced Titles,18,2270,1.5361933506573051
IDS,N/A,28,202412,1.5470645608964004
A*(h2),Manhattan,28,8272,1.3801130473307155
A*(h1),Misplaced Titles,28,77786,1.4951165586835968
IDS,N/A,32,369628,1.4927691524420308
A*(h2),Manhattan,23,2051,1.393152013527345
A*(h1),Misplaced Titles,23,20112,1.5385327682511423
IDS,N/A,29,251924,1.535503016341382
A*(h2),Manhattan,25,4355,1.3981685415190483
A*(h1),Misplaced Titles,25,37536,1.523975269938209
IDS,N/A,29,216037,1.5273875495076235
A*(h2),Manhattan,26,7398,1.4086791593590156
A*(h1),Misplaced Titles,26,48113,1.5138645414604817
IDS,N/A,38,913088,1.4350122077643788
A*(h2),Manhattan,24,2005,1.3727394005517823
A*(h1),Misplaced Titles,24,20672,1.512890876996846
IDS,N/A,24,76948,1.5980543869757178
A*(h2),Manhattan,22,882,1.36108402178064
A*(h1),Misplaced Titles,22,10477,1.5231337551284734
IDS,N/A,36,633165,1.4492831642962274
A*(h2),Manhattan,23,1967,1.3906213258419355
A*(h1),Misplaced Titles,23,17382,1.5288052408874058
IDS,N/A,29,248211,1.534717026061516
A*(h2),Manhattan,21,448,1.3373692521914906
A*(h1),Misplaced Titles,21,8253,1.536403634856792
IDS,N/A,21,40088,1.6564989365845677
A*(h2),Manhattan,21,1150,1.3987738873792956
A*(h1),Misplaced Titles,21,8450,1.5381304738980996
IDS,N/A,21,74032,1.705599728433547
A*(h2),Manhattan,20,619,1.3790643522924892
A*(h1),Misplaced Titles,20,4609,1.5246857292411726
IDS,N/A,20,39891,1.6984147239508556
A*(h2),Manhattan,24,3596,1.406562884898189
A*(h1),Misplaced Titles,24,23840,1.5219057590689888
IDS,N/A,32,383042,1.494433002832567
A*(h2),Manhattan,20,816,1.3982489695301827
A*(h1),Misplaced Titles,20,4468,1.522318966341783
IDS,N/A,28,245165,1.5576886650157238
A*(h2),Manhattan,17,141,1.3379030804727878
A*(h1),Misplaced Titles,17,1289,1.5238985434756014
IDS,N/A,23,72610,1.6268505975347858
A*(h2),Manhattan,24,1061,1.3368155058245599
A*(h1),Misplaced Titles,24,20768,1.5131829695885926
IDS,N/A,32,350432,1.4902834118867856
A*(h2),Manhattan,19,271,1.3429227010954263
A*(h1),Misplaced Titles,19,2455,1.5080778559304346
IDS,N/A,23,63061,1.6169077940618837
A*(h2),Manhattan,19,807,1.4223069884495239
A*(h1),Misplaced Titles,19,4068,1.5487004270914653
IDS,N/A,27,173042,1.5631678421982729
A*(h2),Manhattan,27,5019,1.3710708456652252
A*(h1),Misplaced Titles,27,72047,1.5132535452960458
IDS,N/A,33,445487,1.4831218024718327
A*(h2),Manhattan,22,972,1.367108589729592
A*(h1),Misplaced Titles,22,8760,1.5107921935170614
IDS,N/A,26,157752,1.5846089719292704
A*(h2),Manhattan,22,652,1.342518704762188
A*(h1),Misplaced Titles,22,9313,1.515001852114273
IDS,N/A,26,163512,1.5867961556772736
A*(h2),Manhattan,24,1014,1.3342941485381081
A*(h1),Misplaced Titles,24,22303,1.5176855650933758
IDS,N/A,36,612354,1.4479383504178738
A*(h2),Manhattan,20,830,1.399438780304128
A*(h1),Misplaced Titles,20,5037,1.5314703657564894
IDS,N/A,26,176839,1.5915853208791422
A*(h2),Manhattan,18,285,1.3689269389333962
A*(h1),Misplaced Titles,18,2148,1.5314859446718805
IDS,N/A,18,13668,1.6973108491667412
A*(h2),Manhattan,19,447,1.3787637915229158
A*(h1),Misplaced Titles,19,2678,1.514994592734307
IDS,N/A,23,117696,1.6613758765199185
A*(h2),Manhattan,26,1834,1.3351048049336547
A*(h1),Misplaced Titles,26,41827,1.505734271163491
IDS,N/A,34,445844,1.4660623441070133
A*(h2),Manhattan,29,5434,1.345232121178146
A*(h1),Misplaced Titles,29,101600,1.4881664425294276
IDS,N/A,33,466245,1.485170066610342
A*(h2),Manhattan,20,568,1.3731482153176013
A*(h1),Misplaced Titles,20,4282,1.519085901641641
IDS,N/A,30,282324,1.5194681225072002
A*(h2),Manhattan,22,1225,1.381560227465535
A*(h1),Misplaced Titles,22,11175,1.5276056340324151
IDS,N/A,30,274419,1.5180304131925961
A*(h2),Manhattan,17,243,1.381432855194216
A*(h1),Misplaced Titles,17,1532,1.5394591266183182
IDS,N/A,23,98220,1.6483603936161446
A*(h2),Manhattan,26,5346,1.3911876992348056
A*(h1),Misplaced Titles,24,32807,1.5422872617019783
IDS,N/A,34,543314,1.474612691900545
A*(h2),Manhattan,26,3112,1.362535029741596
A*(h1),Misplaced Titles,26,42708,1.5069419018964374
IDS,N/A,36,641738,1.4498246962582337
A*(h2),Manhattan,21,1349,1.4094451777713455
A*(h1),Misplaced Titles,21,8580,1.539249135930467
IDS,N/A,27,268158,1.5887351695547631
A*(h2),Manhattan,19,607,1.4011467227116023
A*(h1),Misplaced Titles,19,3699,1.5409690360581494
IDS,N/A,29,245832,1.5342074356524698
A*(h2),Manhattan,23,1198,1.3609618413069513
A*(h1),Misplaced Titles,23,18141,1.5316487599052986
IDS,N/A,27,151836,1.555617315704207
A*(h2),Manhattan,22,823,1.3568073086977008
A*(h1),Misplaced Titles,22,8817,1.5112376524685953
IDS,N/A,28,243389,1.557284248817761
A*(h2),Manhattan,21,581,1.3540273441487936
A*(h1),Misplaced Titles,21,7466,1.5290889899227933
IDS,N/A,31,263680,1.495799754962161
A*(h2),Manhattan,21,1728,1.4261616352273787
A*(h1),Misplaced Titles,21,8736,1.5405704155049964
IDS,N/A,29,236425,1.5321446616320094
A*(h2),Manhattan,24,2747,1.390867558502402
A*(h1),Misplaced Titles,24,30546,1.537705252419416
IDS,N/A,24,184764,1.6574574566750182
A*(h2),Manhattan,18,337,1.3817322153945075
A*(h1),Misplaced Titles,18,2111,1.5300083139210494
IDS,N/A,24,76050,1.5972729397148187
A*(h2),Manhattan,23,877,1.3426304857926368
A*(h1),Misplaced Titles,23,17601,1.5296377045293685
IDS,N/A,31,407570,1.5169604735968916
A*(h2),Manhattan,26,5390,1.3916263545960141
A*(h1),Misplaced Titles,26,47330,1.5129094739791025
IDS,N/A,38,795214,1.4298019834530462
A*(h2),Manhattan,18,225,1.3510667516017707
A*(h1),Misplaced Titles,18,1849,1.5187856847554257
IDS,N/A,30,327554,1.5270131026765268
A*(h2),Manhattan,20,424,1.3532196416202211
A*(h1),Misplaced Titles,20,4596,1.5244704166057363
IDS,N/A,28,179062,1.5403069159303164
A*(h2),Manhattan,23,2179,1.3968237758378617
A*(h1),Misplaced Titles,23,18447,1.5327630856375125
IDS,N/A,27,147972,1.5541328176024043
A*(h2),Manhattan,24,1720,1.3639978485018103
A*(h1),Misplaced Titles,24,21841,1.5163624508952003
IDS,N/A,26,165592,1.587567803828483
A*(h2),Manhattan,18,509,1.4137519277659203
A*(h1),Misplaced Titles,18,2382,1.540309079431758
IDS,N/A,18,35473,1.7896664909618107
A*(h2),Manhattan,23,1181,1.3601164163698392
A*(h1),Misplaced Titles,23,17620,1.5297094596479763
IDS,N/A,25,133323,1.6032313740786297
A*(h2),Manhattan,28,9299,1.3858935258765648
A*(h1),Misplaced Titles,28,85546,1.500202861658296
IDS,N/A,38,881746,1.433693802331713
A*(h2),Manhattan,17,462,1.4346423458826456
A*(h1),Misplaced Titles,17,1161,1.5145522071803352
IDS,N/A,19,61337,1.7864275031947836
A*(h2),Manhattan,22,1335,1.3869708393575175
A*(h1),Misplaced Titles,22,12479,1.5352884764644408
IDS,N/A,28,197668,1.5457547316511384
A*(h2),Manhattan,28,9913,1.3890619369112676
A*(h1),Misplaced Titles,26,46851,1.5123176935491964
IDS,N/A,36,682131,1.4522851043901188
A*(h2),Manhattan,20,660,1.3834937348429859
A*(h1),Misplaced Titles,20,5237,1.534454901149673
IDS,N/A,20,66729,1.742672311011467
A*(h2),Manhattan,22,1090,1.3742471368488847
A*(h1),Misplaced Titles,22,11202,1.5277732072075199
IDS,N/A,38,758774,1.4280381214561042
A*(h2),Manhattan,23,1029,1.3519934310921362
A*(h1),Misplaced Titles,23,18784,1.533970024258242
IDS,N/A,23,65938,1.6200471041529911
A*(h2),Manhattan,22,958,1.366207339309915
A*(h1),Misplaced Titles,22,12251,1.5340021880784342
IDS,N/A,32,324660,1.4867301526016095
A*(h2),Manhattan,24,3834,1.4103238094978983
A*(h1),Misplaced Titles,24,23409,1.520749279008579
IDS,N/A,32,514024,1.5082322785962148
A*(h2),Manhattan,20,970,1.410387943209544
A*(h1),Misplaced Titles,20,4419,1.5214798325015193
IDS,N/A,20,29587,1.6732277036471224
A*(h2),Manhattan,25,5288,1.4090670451187766
A*(h1),Misplaced Titles,25,39720,1.527426670552542
IDS,N/A,29,329666,1.549809858875975
A*(h2),Manhattan,19,126,1.28986963225273
A*(h1),Misplaced Titles,19,3345,1.5328319096871807
IDS,N/A,25,109587,1.5907076201245731
A*(h2),Manhattan,21,876,1.380763325298177
A*(h1),Misplaced Titles,21,8796,1.5410726245340065
IDS,N/A,27,164656,1.5602944953592004
A*(h2),Manhattan,18,422,1.3991062341243028
A*(h1),Misplaced Titles,18,2144,1.5313273646680827
IDS,N/A,26,125780,1.5708651588200766
A*(h2),Manhattan,22,1208,1.3806829174461024
A*(h1),Misplaced Titles,22,9455,1.5160442859181478
IDS,N/A,22,55695,1.6433078072447413
A*(h2),Manhattan,23,2424,1.4033099094297183
A*(h1),Misplaced Titles,23,17974,1.5310330076960812
IDS,N/A,29,278738,1.540867820692523
A*(h2),Manhattan,22,656,1.3428919907017953
A*(h1),Misplaced Titles,22,9096,1.5133791550746882
IDS,N/A,28,165846,1.536094859354621
A*(h2),Manhattan,19,207,1.3240158254125054
A*(h1),Misplaced Titles,19,3107,1.5268888875397955
IDS,N/A,19,28249,1.7149968232793598
A*(h2),Manhattan,27,7967,1.3947372520590573
A*(h1),Misplaced Titles,27,74944,1.5154646485140588
IDS,N/A,33,454273,1.4839998129843883
A*(h2),Manhattan,21,1215,1.402440951255683
A*(h1),Misplaced Titles,21,8767,1.540830298904039
IDS,N/A,35,530017,1.4573072890569543
A*(h2),Manhattan,22,616,1.3390571823598965
A*(h1),Misplaced Titles,22,8674,1.5101148334284924
IDS,N/A,24,77877,1.5988536665826965
A*(h2),Manhattan,20,521,1.3672309664304718
A*(h1),Misplaced Titles,20,4133,1.516398235010818
IDS,N/A,20,27204,1.6662172960057318
A*(h2),Manhattan,21,1034,1.3917095169245575
A*(h1),Misplaced Titles,21,8630,1.5396750971485067
IDS,N/A,25,104265,1.5875431627804137
A*(h2),Manhattan,16,127,1.3535918554591089
A*(h1),Misplaced Titles,16,598,1.4912272253444954
IDS,N/A,20,26144,1.66290945157008
