Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*,Misplaced Titles,18,1275,1.4877444663920807
IDS,N/A,26,17594,1.4564086624417294
A*,Manhattan,21,1155,1.3990628907009022
A*,Misplaced Titles,21,7675,1.5311006207917832
IDS,N/A,21,20583,1.6047418361191028
A*,Manhattan,21,321,1.316307580887898
A*,Misplaced Titles,21,7609,1.5304710642547452
IDS,N/A,33,15469,1.3395329508937746
A*,Manhattan,21,520,1.3468942303738058
A*,Misplaced Titles,21,8839,1.5414305380395672
IDS,N/A,21,10596,1.5547960412234338
A*,Manhattan,19,791,1.4208086890342617
A*,Misplaced Titles,19,3831,1.5438154269911277
IDS,N/A,21,2765,1.4584456334893279
A*,Manhattan,26,2278,1.3462839910310198
A*,Misplaced Titles,26,41796,1.5056913338606206
IDS,N/A,30,46074,1.430370453745585
A*,Manhattan,24,1275,1.3470889004050906
A*,Misplaced Titles,24,19900,1.5104935606541963
IDS,N/A,30,3469,1.312220475252239
A*,Manhattan,25,1305,1.3323686962331582
A*,Misplaced Titles,25,35810,1.5211084287185463
IDS,N/A,29,9782,1.3727800329256161
A*,Manhattan,19,508,1.3880780273690738
A*,Misplaced Titles,17,1175,1.5156204717770878
IDS,N/A,19,25526,1.7058720805856171
A*,Manhattan,22,689,1.345891234386662
A*,Misplaced Titles,22,10879,1.5257427576069795
IDS,N/A,22,18257,1.562073040538601
A*,Manhattan,23,2622,1.408108771368595
A*,Misplaced Titles,23,17755,1.5302171776970224
IDS,N/A,23,21315,1.5424237730665873
A*,Manhattan,22,1724,1.4031862814422147
A*,Misplaced Titles,22,9367,1.515400046968869
IDS,N/A,24,14321,1.4899289405835718
A*,Manhattan,22,951,1.3657519890353125
A*,Misplaced Titles,22,13285,1.5396624757715098
IDS,N/A,30,8578,1.352423996726462
A*,Manhattan,26,3441,1.367811760714245
A*,Misplaced Titles,26,43265,1.5076931105324436
IDS,N/A,30,21334,1.3941272293567597
A*,Manhattan,24,2180,1.377534085896125
A*,Misplaced Titles,24,20253,1.5116006040023044
IDS,N/A,32,17691,1.3575075758993653
A*,Manhattan,18,157,1.3243245352563238
A*,Misplaced Titles,18,1787,1.5159105877100212
IDS,N/A,24,7586,1.4509992955759232
A*,Manhattan,22,1209,1.3807348491782245
A*,Misplaced Titles,22,9305,1.5149426729287119
IDS,N/A,26,28532,1.4837438483232015
A*,Manhattan,20,626,1.3798399560337087
A*,Misplaced Titles,20,4448,1.5219775238133555
IDS,N/A,20,5272,1.5349660350776597
A*,Manhattan,18,563,1.4216936444045398
A*,Misplaced Titles,18,2613,1.548249963054628
IDS,N/A,24,16784,1.499813682574861
A*,Manhattan,22,294,1.2947848403231415
A*,Misplaced Titles,22,9898,1.5192029433949266
IDS,N/A,24,8865,1.46044973472772
A*,Manhattan,20,481,1.3617809477867053
A*,Misplaced Titles,20,4556,1.523804268431234
IDS,N/A,20,2176,1.4685304111028867
A*,Manhattan,25,2477,1.3669638835685307
A*,Misplaced Titles,25,36260,1.521868443903753
IDS,N/A,35,38201,1.3518123846040404
A*,Manhattan,24,2806,1.3920996345021732
A*,Misplaced Titles,24,20413,1.512096302699374
IDS,N/A,24,7970,1.4539878029972175
A*,Manhattan,23,622,1.322723736673631
A*,Misplaced Titles,23,17085,1.5276601094568623
IDS,N/A,35,93140,1.3866770278929403
A*,Manhattan,25,2750,1.3726926483202326
A*,Misplaced Titles,25,35787,1.5210693376443227
IDS,N/A,31,45411,1.4132890760665937
A*,Manhattan,25,1086,1.322614236227353
A*,Misplaced Titles,25,35264,1.5201738688237658
IDS,N/A,37,69313,1.3515522181691495
A*,Manhattan,22,1318,1.386163110181872
A*,Misplaced Titles,22,10126,1.5207763852219631
IDS,N/A,26,5372,1.3914473223428279
A*,Manhattan,7,27,1.6013288855576973
A*,Misplaced Titles,7,32,1.640670712015276
IDS,N/A,7,97,1.922314905590289
A*,Manhattan,20,880,1.4035378649110437
A*,Misplaced Titles,20,5079,1.532106343214304
IDS,N/A,20,13468,1.608663305327908
A*,Manhattan,26,1209,1.3138774463576275
A*,Misplaced Titles,26,44456,1.5092686572841836
IDS,N/A,36,13672,1.302819420031759
A*,Manhattan,27,6853,1.3869782692502886
A*,Misplaced Titles,27,73924,1.5146956819629502
IDS,N/A,33,19622,1.3492211157972067
A*,Manhattan,24,698,1.3136932727194988
A*,Misplaced Titles,24,29480,1.5354310246329286
IDS,N/A,32,14027,1.3476982049214168
A*,Manhattan,20,604,1.3773738926886516
A*,Misplaced Titles,20,4886,1.5291414935461107
IDS,N/A,30,32728,1.414155983897106
A*,Manhattan,19,263,1.3408064547685665
A*,Misplaced Titles,19,2361,1.504982215066175
IDS,N/A,19,3501,1.5365136645414095
A*,Manhattan,22,870,1.3602367729440248
A*,Misplaced Titles,22,9234,1.5144153191270775
IDS,N/A,24,293,1.267027820293273
A*,Manhattan,27,4054,1.3602706384059438
A*,Misplaced Titles,27,74563,1.5151786028031051
IDS,N/A,37,96542,1.3637101154547606
A*,Manhattan,20,760,1.3932873036486733
A*,Misplaced Titles,20,5342,1.53597870344315
IDS,N/A,24,14319,1.489920270165696
A*,Manhattan,22,1758,1.404432457423756
A*,Misplaced Titles,22,9633,1.5173300919905264
IDS,N/A,28,9840,1.3886953068862007
A*,Manhattan,22,1324,1.3864493207511024
A*,Misplaced Titles,22,12012,1.5326290750152354
IDS,N/A,28,19032,1.4218007193097184
A*,Manhattan,25,624,1.293621972569923
A*,Misplaced Titles,25,34531,1.518897146520779
IDS,N/A,25,6810,1.4233964700901045
A*,Manhattan,24,1537,1.3576195328950178
A*,Misplaced Titles,24,20393,1.5120345443981267
IDS,N/A,32,30351,1.3806001187179018
A*,Manhattan,21,405,1.3309585329881874
A*,Misplaced Titles,21,7777,1.5320635020601099
IDS,N/A,21,4027,1.484792591347677
A*,Manhattan,21,584,1.3543594585296306
A*,Misplaced Titles,21,7929,1.5334762971845364
IDS,N/A,31,6611,1.3281111550238298
A*,Manhattan,15,102,1.3611521645169957
A*,Misplaced Titles,15,615,1.5343520139862352
IDS,N/A,17,1680,1.5478329064754144
A*,Manhattan,19,640,1.4050561584861243
A*,Misplaced Titles,19,3708,1.5411661414293905
IDS,N/A,23,10521,1.4957948870374345
A*,Manhattan,25,4959,1.4054511795336018
A*,Misplaced Titles,25,36848,1.5228479984320777
IDS,N/A,31,72545,1.4348080011610933
